Customer ID;Gender;Age; Income (USD/Month) 
29290;Male;28; $10.813,00 
27703;Male;27; $9.237,00 
28712;Male;53; $11.242,00 
28020;Male;23; $23.327,00 
27182;Male;33; $8.536,00 
27318;Male;25; $13.984,00 
33788;Male;23; $23.788,00 
34106;Male;19; $19.980,00 
59799;Male;33; $19.271,00 
57982;Male;57; $5.068,00 
58774;Male;20; $23.602,00 
58627;Male;28; $27.338,00 
59007;Male;63; $6.683,00 
58215;Male;25; $6.862,00 
59372;Male;53; $4.912,00 
57950;Male;58; $16.997,00 
59533;Male;29; $17.520,00 
58346;Male;27; $21.650,00 
58925;Male;38; $26.550,00 
58551;Male;25; $21.734,00 
59804;Male;31; $4.550,00 
57200;Male;23; $3.268,00 
57931;Male;40; $5.666,00 
3077;Male;22; $16.759,00 
4734;Male;33; $30.608,00 
4004;Male;18; $3.896,00 
5528;Male;34; $14.974,00 
5785;Male;21; $11.230,00 
3714;Male;33; $4.521,00 
3746;Male;24; $2.371,00 
4289;Male;19; $28.719,00 
5777;Male;24; $28.850,00 
3571;Male;44; $15.166,00 
4779;Male;27; $6.416,00 
5734;Male;23; $22.475,00 
3051;Male;30; $34.757,00 
5915;Male;26; $24.115,00 
5628;Male;33; $15.231,00 
3125;Male;25; $9.562,00 
4813;Male;46; $24.809,00 
4682;Male;62; $6.075,00 
3787;Male;27; $33.382,00 
5029;Male;53; $3.015,00 
3600;Male;20; $4.277,00 
4606;Male;27; $8.633,00 
3546;Male;47; $5.340,00 
5707;Male;20; $15.397,00 
4457;Male;22; $18.960,00 
3330;Male;46; $5.216,00 
5094;Male;43; $27.243,00 
5284;Male;53; $5.084,00 
5741;Male;44; $21.700,00 
25949;Male;32; $31.491,00 
24086;Male;60; $19.410,00 
25155;Male;27; $10.997,00 
25247;Male;26; $24.178,00 
24530;Male;47; $10.312,00 
24144;Male;52; $21.243,00 
30718;Male;52; $20.255,00 
30769;Male;51; $33.152,00 
31634;Male;47; $2.880,00 
30725;Male;29; $4.437,00 
8693;Male;21; $15.024,00 
8354;Male;48; $12.229,00 
8953;Male;38; $10.973,00 
7409;Male;18; $7.182,00 
8448;Male;62; $7.002,00 
7598;Male;33; $10.791,00 
7475;Male;52; $21.930,00 
8197;Male;27; $18.995,00 
8159;Male;40; $12.634,00 
8543;Male;39; $20.564,00 
8702;Male;20; $3.795,00 
8661;Male;46; $31.986,00 
8624;Male;45; $24.169,00 
6318;Male;61; $28.764,00 
8420;Male;30; $3.193,00 
7309;Male;23; $15.247,00 
8091;Male;23; $21.938,00 
6940;Male;40; $2.067,00 
8927;Male;19; $17.197,00 
7002;Male;54; $24.555,00 
8555;Male;27; $8.465,00 
6214;Male;53; $9.447,00 
6068;Male;33; $8.788,00 
8125;Male;28; $17.969,00 
7723;Male;58; $2.948,00 
8773;Male;37; $25.735,00 
8488;Male;52; $4.690,00 
7277;Male;23; $20.528,00 
7342;Male;30; $31.080,00 
8820;Male;20; $10.416,00 
8069;Male;22; $13.610,00 
7317;Male;19; $16.209,00 
6343;Male;42; $17.207,00 
6941;Male;54; $17.067,00 
7974;Male;41; $21.855,00 
8294;Male;28; $14.024,00 
7355;Male;31; $6.166,00 
7451;Male;19; $4.391,00 
7924;Male;26; $23.137,00 
